CINDA BACKUP   BCK00120240426 157569  65309
    312) Area:1 Z=34  SE-84     bl:3     ln:8    
    313) Area:1 Z=34  SE-87     bl:5     ln:5    
    314) Area:1 Z=34  SE-88     bl:5     ln:5    
    315) Area:1 Z=35  BR-0      bl:78    ln:173  
    316) Area:1 Z=35  BR-76     bl:1     ln:2    
    317) Area:1 Z=35  BR-78     bl:2     ln:2    
    318) Area:1 Z=35  BR-79     bl:84    ln:186  
    319) Area:1 Z=35  BR-80     bl:3     ln:3    
    320) Area:1 Z=35  BR-81     bl:82    ln:187  
    321) Area:1 Z=35  BR-82     bl:3     ln:3    
    322) Area:1 Z=35  BR-89     bl:1     ln:1    
    323) Area:1 Z=35  BR-CMP    bl:4     ln:10   
    324) Area:1 Z=36  KR-0      bl:38    ln:77   
    325) Area:1 Z=36  KR-77     bl:1     ln:1    
    326) Area:1 Z=36  KR-78     bl:25    ln:51   
    327) Area:1 Z=36  KR-79     bl:1     ln:1    
    328) Area:1 Z=36  KR-80     bl:30    ln:72   
    329) Area:1 Z=36  KR-81     bl:2     ln:2    
    330) Area:1 Z=36  KR-82     bl:26    ln:51   
    331) Area:1 Z=36  KR-83     bl:29    ln:49   
    332) Area:1 Z=36  KR-84     bl:35    ln:62   
    333) Area:1 Z=36  KR-85     bl:16    ln:25   
    334) Area:1 Z=36  KR-86     bl:52    ln:135  
    335) Area:1 Z=36  KR-92     bl:5     ln:5    
    336) Area:1 Z=36  KR-93     bl:5     ln:5    
    337) Area:1 Z=36  KR-96     bl:3     ln:6    
    338) Area:1 Z=37  RB-0      bl:31    ln:72   
    339) Area:1 Z=37  RB-84     bl:3     ln:4    
    340) Area:1 Z=37  RB-85     bl:80    ln:172  
    341) Area:1 Z=37  RB-86     bl:10    ln:15   
    342) Area:1 Z=37  RB-87     bl:71    ln:152  
    343) Area:1 Z=37  RB-88     bl:5     ln:11   
    344) Area:1 Z=37  RB-95     bl:1     ln:1    
    345) Area:1 Z=37  RB-CMP    bl:7     ln:21   
    346) Area:1 Z=38  SR-0      bl:71    ln:154  
    347) Area:1 Z=38  SR-83     bl:1     ln:1    
    348) Area:1 Z=38  SR-84     bl:29    ln:57   
    349) Area:1 Z=38  SR-85     bl:4     ln:4    
    350) Area:1 Z=38  SR-86     bl:57    ln:136  
    351) Area:1 Z=38  SR-87     bl:60    ln:125  
    352) Area:1 Z=38  SR-88     bl:110   ln:256  
    353) Area:1 Z=38  SR-89     bl:9     ln:16   
    354) Area:1 Z=38  SR-90     bl:10    ln:18   
    355) Area:1 Z=38  SR-91     bl:1     ln:1    
    356) Area:1 Z=38  SR-94     bl:8     ln:13   
    357) Area:1 Z=38  SR-95     bl:8     ln:12   
    358) Area:1 Z=38  SR-96     bl:2     ln:4    
    359) Area:1 Z=38  SR-CMP    bl:6     ln:12   
    360) Area:1 Z=38  SR-OXI    bl:1     ln:2    
    361) Area:1 Z=39  Y-0       bl:1     ln:1    
    362) Area:1 Z=39  Y-86      bl:2     ln:4    
    363) Area:1 Z=39  Y-87      bl:15    ln:19   
    364) Area:1 Z=39  Y-88      bl:26    ln:42   
    365) Area:1 Z=39  Y-89      bl:410   ln:1086 
    366) Area:1 Z=39  Y-90      bl:13    ln:20   
    367) Area:1 Z=39  Y-91      bl:8     ln:18   
    368) Area:1 Z=39  Y-92      bl:2     ln:4    
    369) Area:1 Z=39  Y-93      bl:1     ln:1    
    370) Area:1 Z=39  Y-CMP     bl:9     ln:11   
    371) Area:1 Z=40  ZR-0      bl:276   ln:639  
    372) Area:1 Z=40  ZR-100    bl:5     ln:5    
    373) Area:1 Z=40  ZR-102    bl:5     ln:5    
    374) Area:1 Z=40  ZR-103    bl:5     ln:5    
    375) Area:1 Z=40  ZR-88     bl:16    ln:36   
    376) Area:1 Z=40  ZR-89     bl:14    ln:17   
    377) Area:1 Z=40  ZR-90     bl:386   ln:979  
    378) Area:1 Z=40  ZR-91     bl:142   ln:328  
    379) Area:1 Z=40  ZR-92     bl:171   ln:451  
    380) Area:1 Z=40  ZR-93     bl:32    ln:59   
    381) Area:1 Z=40  ZR-94     bl:168   ln:430  
    382) Area:1 Z=40  ZR-95     bl:6     ln:8    
    383) Area:1 Z=40  ZR-96     bl:118   ln:270  
    384) Area:1 Z=40  ZR-97     bl:1     ln:1    
    385) Area:1 Z=40  ZR-99     bl:5     ln:5    
    386) Area:1 Z=40  ZR-ALY    bl:1     ln:2    
    387) Area:1 Z=40  ZR-CMP    bl:2     ln:3    
    388) Area:1 Z=40  ZR-HYD    bl:46    ln:96   
    389) Area:1 Z=40  ZR-OXI    bl:2     ln:7    
    390) Area:1 Z=41  NB-0      bl:1     ln:1    
    391) Area:1 Z=41  NB-91     bl:2     ln:2    
    392) Area:1 Z=41  NB-92     bl:1     ln:1    
    393) Area:1 Z=41  NB-93     bl:542   ln:1549 
    394) Area:1 Z=41  NB-94     bl:29    ln:69   
    395) Area:1 Z=41  NB-95     bl:11    ln:27   
    396) Area:1 Z=41  NB-96     bl:1     ln:1    
    397) Area:1 Z=41  NB-97     bl:1     ln:1    
    398) Area:1 Z=41  NB-CMP    bl:4     ln:16   
    399) Area:1 Z=42  MO-0      bl:229   ln:587  
    400) Area:1 Z=42  MO-100    bl:161   ln:480  
    401) Area:1 Z=42  MO-107    bl:5     ln:5    
    402) Area:1 Z=42  MO-108    bl:5     ln:5    
    403) Area:1 Z=42  MO-91     bl:2     ln:2    
    404) Area:1 Z=42  MO-92     bl:211   ln:635  
    405) Area:1 Z=42  MO-93     bl:2     ln:2    
    406) Area:1 Z=42  MO-94     bl:84    ln:322  
    407) Area:1 Z=42  MO-95     bl:119   ln:325  
    408) Area:1 Z=42  MO-96     bl:132   ln:407  
    409) Area:1 Z=42  MO-97     bl:67    ln:139  
    410) Area:1 Z=42  MO-98     bl:177   ln:500  
    411) Area:1 Z=42  MO-99     bl:4     ln:7    
    412) Area:1 Z=43  TC-0      bl:1     ln:1    
    413) Area:1 Z=43  TC-100    bl:2     ln:2    
    414) Area:1 Z=43  TC-97     bl:4     ln:4    
    415) Area:1 Z=43  TC-98     bl:6     ln:8    
    416) Area:1 Z=43  TC-99     bl:74    ln:174  
    417) Area:1 Z=44  RU-0      bl:39    ln:104  
    418) Area:1 Z=44  RU-100    bl:31    ln:71   
    419) Area:1 Z=44  RU-101    bl:58    ln:153  
    420) Area:1 Z=44  RU-102    bl:67    ln:177  
    421) Area:1 Z=44  RU-103    bl:7     ln:12   
    422) Area:1 Z=44  RU-104    bl:63    ln:168  
    423) Area:1 Z=44  RU-105    bl:5     ln:12   
    424) Area:1 Z=44  RU-106    bl:13    ln:21   
    425) Area:1 Z=44  RU-95     bl:3     ln:3    
    426) Area:1 Z=44  RU-96     bl:52    ln:123  
    427) Area:1 Z=44  RU-97     bl:1     ln:1    
    428) Area:1 Z=44  RU-98     bl:12    ln:23   
    429) Area:1 Z=44  RU-99     bl:26    ln:56   
    430) Area:1 Z=45  RH-0      bl:1     ln:1    
    431) Area:1 Z=45  RH-102    bl:2     ln:2    
    432) Area:1 Z=45  RH-103    bl:314   ln:741  
    433) Area:1 Z=45  RH-104    bl:4     ln:7    
    434) Area:1 Z=45  RH-104-M1 bl:2     ln:5    
    435) Area:1 Z=45  RH-105    bl:15    ln:34   
    436) Area:1 Z=46  PD-0      bl:99    ln:280  
    437) Area:1 Z=46  PD-101    bl:1     ln:1    
    438) Area:1 Z=46  PD-102    bl:31    ln:72   
    439) Area:1 Z=46  PD-103    bl:2     ln:2    
    440) Area:1 Z=46  PD-104    bl:47    ln:105  
    441) Area:1 Z=46  PD-105    bl:62    ln:143  
    442) Area:1 Z=46  PD-106    bl:65    ln:146  
    443) Area:1 Z=46  PD-107    bl:26    ln:62   
    444) Area:1 Z=46  PD-108    bl:79    ln:207  
    445) Area:1 Z=46  PD-109    bl:4     ln:4    
    446) Area:1 Z=46  PD-110    bl:60    ln:144  
    447) Area:1 Z=46  PD-112    bl:1     ln:1    
    448) Area:1 Z=46  PD-CMP    bl:1     ln:2    
    449) Area:1 Z=47  AG-0      bl:370   ln:863  
    450) Area:1 Z=47  AG-106    bl:1     ln:1    
